mukey,aws025wta,aws050wta,aws0100wta,aws0150wta,hydgrpdcd
49933,5.49,9.34,12.15,12.15,C
49934,5.57,9.32,11.85,11.9,C
49935,4.64,6.54,8.01,9.44,C
49936,4.78,6.76,8.1,9.4,C
49937,5.79,8.38,9.79,10.59,D
49938,8.37,14.85,20.74,21.94,D
49939,7.75,11.91,13.13,13.73,D
49940,6.76,16.77,38.14,59.52,C
49941,5.74,8.72,12.51,15.61,C
49942,7.06,11.01,11.88,11.88,D
49943,8.68,13.85,16.31,16.31,D
49944,6.89,13.39,17.6,20.98,D
49945,6.77,12.94,16.07,18.37,D
49946,6.41,8.74,9.0,9.23,D
49947,5.94,9.36,9.94,9.94,D
49948,6.27,8.5,8.86,9.16,D
49949,8.73,18.64,37.84,56.97,B
49950,5.98,8.93,9.48,9.53,D
49951,5.71,10.74,15.97,15.97,C
49952,5.72,10.66,15.89,15.89,C
49953,4.71,6.78,9.53,12.18,C
49954,7.79,12.33,14.34,14.34,D
49955,6.7,12.33,17.05,17.05,D
49956,6.37,10.26,13.99,15.25,D
49957,5.46,7.91,8.84,9.22,D
49958,7.95,13.16,18.88,19.83,D
49959,4.83,7.32,11.15,14.0,C
49960,4.99,6.64,8.01,9.26,D
49961,4.99,6.64,8.01,9.26,D
49962,4.24,5.51,6.69,7.66,D
49963,4.63,5.96,7.01,7.93,D
49964,4.75,6.39,7.18,7.81,D
49965,4.7,6.59,7.1,7.1,D
49966,6.92,12.07,14.72,14.72,D
49967,6.92,12.07,14.72,14.72,D
49968,3.08,3.99,4.45,4.45,C
49969,3.9,5.3,5.82,5.82,C
49970,3.9,5.3,5.82,5.82,C
49971,6.22,10.4,13.72,13.72,D
49972,10.03,20.78,42.15,63.53,B
49973,1.84,6.27,13.44,18.88,B
49974,1.84,6.27,13.44,18.88,B
49975,5.14,9.32,13.87,13.87,C
49976,4.09,5.74,8.05,10.35,C
49977,8.47,17.48,29.34,40.59,D
49978,2.28,6.37,10.59,13.79,D
49979,2.28,6.37,10.59,13.79,D
49980,2.39,6.62,10.89,14.14,B
49981,5.57,9.53,12.44,12.44,C
49982,5.65,9.52,12.14,12.19,C
49983,4.77,6.67,8.2,9.67,D
49984,4.87,6.91,8.31,9.66,C
49985,8.26,17.75,36.87,56.0,B
49986,8.26,17.75,36.87,56.0,B
49987,2.28,6.37,10.59,13.79,D
49988,2.28,6.37,10.59,13.79,D
49989,5.7,8.21,9.61,10.41,D
49990,7.55,11.47,13.79,16.12,D
49991,6.85,11.02,19.28,27.53,D
49992,8.21,14.34,19.63,20.23,D
49993,7.75,11.91,13.13,13.73,D
49994,7.75,11.91,13.13,13.73,D
49995,6.53,16.05,36.3,56.55,C
49996,5.73,8.67,12.32,15.3,C
49997,7.11,10.93,11.55,11.55,D
49998,8.66,13.72,16.09,16.09,D
49999,6.89,13.39,17.6,20.98,D
50000,6.77,12.94,16.07,18.37,D
50001,6.28,8.71,9.52,9.82,D
50002,6.41,8.74,9.0,9.23,D
50003,6.09,9.65,10.24,10.24,D
50004,6.09,9.65,10.24,10.24,D
50005,6.15,8.36,8.65,8.9,D
50006,8.71,19.01,39.34,59.59,B
50007,8.71,19.01,39.34,59.59,B
50008,6.27,9.34,9.73,9.78,D
50009,5.72,10.66,15.89,15.89,C
50010,5.72,10.66,15.89,15.89,C
50011,4.83,6.91,9.71,12.41,C
50012,4.54,6.49,9.22,11.88,C
50013,7.79,12.33,14.34,14.34,D
50014,7.14,14.97,29.6,44.22,C
50015,6.95,14.62,28.19,41.69,C
50016,6.67,12.09,16.54,16.54,D
50017,6.67,12.09,16.54,16.54,D
50018,6.37,10.26,13.99,15.25,D
50019,6.37,10.26,13.99,15.25,D
50020,8.08,12.59,14.04,14.04,D
50021,7.63,13.82,17.82,18.63,D
50022,7.86,17.04,26.95,35.95,D
50023,6.19,9.91,12.46,12.58,D
50024,5.36,7.52,8.12,8.62,D
